Date,Close
3/2/2015,40.59
3/3/2015,41
3/4/2015,40.66
3/5/2015,40.69
3/6/2015,40.48
3/9/2015,40.62
3/10/2015,39.45
3/11/2015,39.69
3/12/2015,40.48
3/13/2015,39.93
3/16/2015,40.43
3/17/2015,40.55
3/18/2015,41.03
3/19/2015,40.85
3/20/2015,41.05
3/23/2015,41
3/24/2015,40.61
3/25/2015,40.26
3/26/2015,40.4
3/27/2015,40.19
3/30/2015,40.76
3/31/2015,40.83
4/1/2015,40.43
4/2/2015,41.15
4/6/2015,41.53
4/7/2015,41.34
4/8/2015,41.52
4/9/2015,41.44
4/10/2015,41.17
4/13/2015,41.51
4/14/2015,41.65
4/15/2015,42.4
4/16/2015,42.24
4/17/2015,41.84
4/20/2015,41.9
4/21/2015,41.21
4/22/2015,41.36
4/23/2015,41.65
4/24/2015,41.62
4/27/2015,41.43
4/28/2015,41.96
4/29/2015,41.89
4/30/2015,41.64
5/1/2015,41.73
5/4/2015,41.67
5/5/2015,41.27
5/6/2015,41.09
5/7/2015,41.22
5/8/2015,41.42
5/11/2015,41.15
5/12/2015,40.95
5/13/2015,40.57
5/14/2015,40.9
5/15/2015,40.64
5/18/2015,41.05
5/19/2015,41.1
5/20/2015,41.17
5/21/2015,41.05
5/22/2015,40.7
5/26/2015,40.05
5/27/2015,40.23
5/28/2015,40.33
5/29/2015,40.12
6/1/2015,40.01
6/2/2015,40.43
6/3/2015,40.73
6/4/2015,40.14
6/5/2015,40.13
6/8/2015,39.72
6/9/2015,39.66
6/10/2015,40.59
6/11/2015,40.47
6/12/2015,40.01
6/15/2015,39.51
6/16/2015,39.54
6/17/2015,39.47
6/18/2015,39.65
6/19/2015,39.27
6/22/2015,39.61
6/23/2015,39.57
6/24/2015,39.14
6/25/2015,38.76
6/26/2015,38.97
6/29/2015,38.18
6/30/2015,38.51
7/1/2015,38.85
7/2/2015,38.69
7/6/2015,38.6
7/7/2015,38.86
7/8/2015,38.21
7/9/2015,38.4
7/10/2015,38.83
7/13/2015,39.17
7/14/2015,38.95
7/15/2015,38.88
7/16/2015,38.97
7/17/2015,38.57
7/20/2015,38.42
7/21/2015,38.35
7/22/2015,38.11
7/23/2015,37.79
7/24/2015,37.82
7/27/2015,37.76
7/28/2015,38.15
7/29/2015,38.3
7/30/2015,38.31
7/31/2015,38.11
8/3/2015,37.09
8/4/2015,37.51
8/5/2015,37.7
8/6/2015,37.97
8/7/2015,37.94
8/10/2015,39.05
